inicio fim somatorio_bytesresposta
1995-07-12T21:00:00.000-03:00 1995-07-13T21:00:00.000-03:00 2620584219
1995-07-05T21:00:00.000-03:00 1995-07-06T21:00:00.000-03:00 2154095157
1995-07-02T21:00:00.000-03:00 1995-07-03T21:00:00.000-03:00 2077454970
1995-07-04T21:00:00.000-03:00 1995-07-05T21:00:00.000-03:00 2059450446
1995-07-06T21:00:00.000-03:00 1995-07-07T21:00:00.000-03:00 2025709091
1995-07-13T21:00:00.000-03:00 1995-07-14T21:00:00.000-03:00 1965708230
1995-07-03T21:00:00.000-03:00 1995-07-04T21:00:00.000-03:00 1808048849
1995-07-11T21:00:00.000-03:00 1995-07-12T21:00:00.000-03:00 1655918317
1995-07-01T21:00:00.000-03:00 1995-07-02T21:00:00.000-03:00 1513450635
1995-07-16T21:00:00.000-03:00 1995-07-17T21:00:00.000-03:00 1448871372
1995-07-10T21:00:00.000-03:00 1995-07-11T21:00:00.000-03:00 1389445554
1995-07-18T21:00:00.000-03:00 1995-07-19T21:00:00.000-03:00 1363532225
1995-07-09T21:00:00.000-03:00 1995-07-10T21:00:00.000-03:00 1333990904
1995-07-23T21:00:00.000-03:00 1995-07-24T21:00:00.000-03:00 1244925902
1995-07-19T21:00:00.000-03:00 1995-07-20T21:00:00.000-03:00 1230572834
1995-07-17T21:00:00.000-03:00 1995-07-18T21:00:00.000-03:00 1218442215
1995-07-24T21:00:00.000-03:00 1995-07-25T21:00:00.000-03:00 1142244809
1995-07-26T21:00:00.000-03:00 1995-07-27T21:00:00.000-03:00 1139172589
1995-06-30T21:00:00.000-03:00 1995-07-01T21:00:00.000-03:00 1131571377
1995-07-20T21:00:00.000-03:00 1995-07-21T21:00:00.000-03:00 1123652155
1995-07-14T21:00:00.000-03:00 1995-07-15T21:00:00.000-03:00 1029680261
1995-07-25T21:00:00.000-03:00 1995-07-26T21:00:00.000-03:00 1028047311
1995-07-15T21:00:00.000-03:00 1995-07-16T21:00:00.000-03:00 984363932
1995-07-07T21:00:00.000-03:00 1995-07-08T21:00:00.000-03:00 973806364
1995-07-08T21:00:00.000-03:00 1995-07-09T21:00:00.000-03:00 780420575
1995-07-22T21:00:00.000-03:00 1995-07-23T21:00:00.000-03:00 732251152
1995-07-21T21:00:00.000-03:00 1995-07-22T21:00:00.000-03:00 681152888
1995-07-27T21:00:00.000-03:00 1995-07-28T21:00:00.000-03:00 591365708
